Country,Country Name,Country - RegionId,Country - Name_fr,Country - ParentKey,Country - SrcCode,Country - Source Note,Country - Source Note_fr,Goal,Indicator,Indicator Name,Indicator - Defenition and Data Source,Indicator - Defenition and Data Source_fr,Indicator - Goal Key,Social Group,Social Group Name,Scale,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2011
16,Egypt,EG,Egypte,86,EGY,"Regional member Country Lower middle income  Less indebted    National currency: Egyptian pound  National accounts base year: 2002  SNA price valuation: VAfc  Latest population census: 1996  Latest demographic, household, or health survey: SPA, 2",,Goal 1: Eradicate extreme poverty and hunger,20265505,Growth rate of GDP per person employed  (%),Is the growth of GDP per person employed,,1,20137105,Total,units,,"9,3",,,,,,,,,,,,,,,,,,,
41,Senegal,SN,Sénégal,88,SEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,,,"57,1",,,,"50,8",,,
47,Swaziland,SZ,Swaziland,87,SWZ,"Regional member Country  Lower middle income  Less indebted    National currency: Swaziland lilangeni  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 1997  Latest demographic, household, or health survey: MICS, 200",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,33,,,,,,,,
36,Namibia,NA,Namibie,87,NAM,"Regional member Country  Lower middle income  Debt not classified    National currency: Namibia dollar  National accounts base year: 1995  SNA price valuation: VAbp SNA93 Latest population census: 2001  Latest demographic, household, or health survey: DHS",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,"87,71","42,3",,,,,,,,,,"84,9",,,"83,1",,,,
45,South Africa,ZA,Afrique du Sud,87,ZAF,"Regional member Country  Lower middle income  Less indebted    National currency: South African rand  National accounts base year: 2000  SNA price valuation: VAbp SNA93  Latest population census: 2001  Latest demographic, household, or health survey: DHS,",,Goal 1: Eradicate extreme poverty and hunger,20266105,Prevalence of underweight children under-five years of age Male / Female,Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,"9,3",,,,,"11,37",,,,,,"10,2",,,,
21,Gambia,GM,Gambie,88,GMB,"Regional member Country  Low income  Moderately indebted    National currency: Gambian dalasi  National accounts base year: 1977  SNA price valuation: VAfc  Latest population census: 2003  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,,,,,,,,,,77,,,,,,79,,,
7,Cameroon,CM,Cameroun,84,CMR,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 2000  SNA price valuation: VAbp  Latest population census: 1987  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20266305,Proportion of population below minimum level of dietary energy consumption (%),"The proportion of the population below the minimum level of dietary energy consumption referred to as the prevalence of undernourishment, is the percentage of the population that is undernourished or food deprived.",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,,23,,
1,Algeria,DZ,Algérie,86,DZA,"Regional member Country Lower middle income  Less indebted    National currency: Algerian dinar  National accounts base year: 1995  SNA price valuation: VAmkt  Latest population census: 1998  Latest demographic, household, or health survey: MICS,","Regional member Country Lower middle income  Less indebted    National currency: Algerian dinar  National accounts base year: 1995  SNA price valuation: VAmkt  Latest population census: 1998  Latest demographic, household, or health survey: MICS,",Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"7,6",,,
34,Morocco,MA,Maroc,86,MAR,"Regional member Country Lower middle income  Moderately indebted    National currency: Moroccan dirham  National accounts base year: 1980  SNA price valuation: VAbp  Latest population census:, 2004  Latest demographic, household, or health survey:",,Goal 1: Eradicate extreme poverty and hunger,20265805,Proportion of employed people living below $1 (PPP) per day,"The proportion of employed persons living below $1 (PPP) per day, or working poor, is the share of individuals who are employed, but nonetheless live in a household whose members are estimated to be living below the international poverty line of $1 (PPP)",,1,20137105,Total,units,,"2,4",,,,,,,,,"1,2",,,,,"0,3","0,3",,,,
53,Zimbabwe,ZW,Zimbabwe,87,ZWE,"Regional member Country  Low income  Moderately indebted    National currency: Zimbabwe dollar  National accounts base year: 1990  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 1999",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,13,,,,18,,"16,6",,,,
7,Cameroon,CM,Cameroun,84,CMR,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 2000  SNA price valuation: VAbp  Latest population census: 1987  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"40,2",,,
6,Burundi,BI,Burundi,85,BDI,"Regional member Country  Low income  Severely indebted    National currency: Burundi franc  National accounts base year: 1980  SNA price valuation: VAfc  Latest population census: 1990  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"81,32",,,
16,Egypt,EG,Egypte,86,EGY,"Regional member Country Lower middle income  Less indebted    National currency: Egyptian pound  National accounts base year: 2002  SNA price valuation: VAfc  Latest population census: 1996  Latest demographic, household, or health survey: SPA, 2",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"21,8","22,9","22,2","22,6","22,8","23,7","23,5","23,4","27,5","23,9","20,8",23,"22,3","21,4","19,8","21,2","22,7","23,1",
25,Kenya,KE,Kenya,85,KEN,"Regional member Country  Low income  Moderately indebted    National currency: Kenya shilling  National accounts base year: 2001  SNA price valuation: Vabp 1993SNA  Latest population census: 1999  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,22,"25,1",25,,,"23,5",,24,,,"28,1",23,,20,,"19,7","19,3",,
6,Burundi,BI,Burundi,85,BDI,"Regional member Country  Low income  Severely indebted    National currency: Burundi franc  National accounts base year: 1980  SNA price valuation: VAfc  Latest population census: 1990  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"36,39",,,
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,,,,,,,,"19,5",,,,20,,
30,Malawi,MW,Malawi,87,MWI,"Regional member Country  Low income  Moderately indebted    National currency: Malawi kwacha  National accounts base year: 1994  SNA price valuation: VAfc  Latest population census: 1998  Latest demographic, household, or health survey: EdData, 2002",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,54,,,,,,,,,,,"53,9",,,,,50,45,40,
33,Mauritius,MU,Maurice,87,MUS,"Regional member Country  Upper middle income  Less indebted    National currency: Mauritian rupee  National accounts base year: 1992  SNA price valuation: Vabp SNA93  Latest population census: 2000  Latest demographic, household, or health survey: CDC, 19",,Goal 1: Eradicate extreme poverty and hunger,20266305,Proportion of population below minimum level of dietary energy consumption (%),"The proportion of the population below the minimum level of dietary energy consumption referred to as the prevalence of undernourishment, is the percentage of the population that is undernourished or food deprived.",,1,20137105,Total,units,,,6,,,,,6,,,,,6,,,,,,,,
45,South Africa,ZA,Afrique du Sud,87,ZAF,"Regional member Country  Lower middle income  Less indebted    National currency: South African rand  National accounts base year: 2000  SNA price valuation: VAbp SNA93  Latest population census: 2001  Latest demographic, household, or health survey: DHS,",,Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,,,,,"2,9",,,,,,"2,8",,,
51,Uganda,UG,Ouganda,85,UGA,"Regional member Country  Low income  Less indebted    National currency: Uganda shilling  National accounts base year: 1998  SNA price valuation: Vabp data on fiscal year basis  Latest population census: 2002  Latest demographic, household, or health surv",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,"84,7",,,,,,,,"83,9","84,9",77,"86,9","87,9","80,4","83,1","83,2",,
6,Burundi,BI,Burundi,85,BDI,"Regional member Country  Low income  Severely indebted    National currency: Burundi franc  National accounts base year: 1980  SNA price valuation: VAfc  Latest population census: 1990  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265805,Proportion of employed people living below $1 (PPP) per day,"The proportion of employed persons living below $1 (PPP) per day, or working poor, is the share of individuals who are employed, but nonetheless live in a household whose members are estimated to be living below the international poverty line of $1 (PPP)",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"81,3",,,
41,Senegal,SN,Sénégal,88,SEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,,"65,9",,,,,"65,4","65,4","65,6",
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,"15,3","14,7",14,"13,4","12,8",,
8,Cape Verde,CV,Cap Vert,88,CPV,"Regional member Country  Lower middle income  Less indebted    National currency: Cape Verde escudo  National accounts base year: 1980  SNA price valuation: Vamkt, Latest population census: 2000",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,49,,,,,,,,,,,,"21,02",,,,,"26,7",,
8,Cape Verde,CV,Cap Vert,88,CPV,"Regional member Country  Lower middle income  Less indebted    National currency: Cape Verde escudo  National accounts base year: 1980  SNA price valuation: Vamkt, Latest population census: 2000",,Goal 1: Eradicate extreme poverty and hunger,20266305,Proportion of population below minimum level of dietary energy consumption (%),"The proportion of the population below the minimum level of dietary energy consumption referred to as the prevalence of undernourishment, is the percentage of the population that is undernourished or food deprived.",,1,20137105,Total,units,,22,,,,,16,,,,,16,,,,,14,,13,,
31,Mali,ML,Mali,88,MLI,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1987  SNA price valuation: VAfc  Latest population census: 1998  Latest demographic, household, or health survey: DHS, 2001",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,,47,,,,,"45,6","45,6","45,7",,
41,Senegal,SN,Sénégal,88,SEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20266305,Proportion of population below minimum level of dietary energy consumption (%),"The proportion of the population below the minimum level of dietary energy consumption referred to as the prevalence of undernourishment, is the percentage of the population that is undernourished or food deprived.",,1,20137105,Total,units,,,,,,,,,,,,,"53,9",,,,,,,,
5,Burkina Faso,BF,Burkina Faso,88,BFA,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAbp  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20266105,Prevalence of underweight children under-five years of age Male / Female,Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,"99,1",,,,,,,,"105,85",
16,Egypt,EG,Egypte,86,EGY,"Regional member Country Lower middle income  Less indebted    National currency: Egyptian pound  National accounts base year: 2002  SNA price valuation: VAfc  Latest population census: 1996  Latest demographic, household, or health survey: SPA, 2",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,"8,2",,,,,"6,3",,,,5,,,,,"3,6",,,,6,
10,Chad,TD,Tchad,84,TCD,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1995  SNA price valuation: VAbp  Latest population census: 1993  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265505,Growth rate of GDP per person employed  (%),Is the growth of GDP per person employed,,1,20137105,Total,units,,1,,,,,1,"0,3",3,"4,3",3,"13,1","7,6","6,5","6,7","32,4","11,3","2,6","0,7","3,2",
47,Swaziland,SZ,Swaziland,87,SWZ,"Regional member Country  Lower middle income  Less indebted    National currency: Swaziland lilangeni  National accounts base year: 1985  SNA price valuation: VAfc  Latest population census: 1997  Latest demographic, household, or health survey: MICS, 200",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,66,,,,,,69,,,,,,,,
48,Tanzania,TZ,Tanzanie,85,TZA,"Regional member Country  Low income  Less indebted    National currency: Tanzania shilling  National accounts base year: 1992  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: AIS, 2003   Economic",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,"11,8",,,,,,,,
6,Burundi,BI,Burundi,85,BDI,"Regional member Country  Low income  Severely indebted    National currency: Burundi franc  National accounts base year: 1980  SNA price valuation: VAfc  Latest population census: 1990  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266005,Prevalence of underweight children under-five years of age  (%),Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,"45,1",,,,,"39,2",,,,
5,Burkina Faso,BF,Burkina Faso,88,BFA,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAbp  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"76,6","76,6","76,5","76,5","76,6","76,5","76,4","76,4","76,3","76,2","75,9","75,6","75,3",75,"74,7","74,4","74,4","74,2",
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20266105,Prevalence of underweight children under-five years of age Male / Female,Prevalence of (moderately and severely) underweight children is the percentage of children aged 0-59 months whose weights for age are less than two standard deviations below the median weight for age of the international reference population.,,1,20137105,Total,units,,,,,,,,,,,,,,,"1,11",,,,,,
25,Kenya,KE,Kenya,85,KEN,"Regional member Country  Low income  Moderately indebted    National currency: Kenya shilling  National accounts base year: 2001  SNA price valuation: Vabp 1993SNA  Latest population census: 1999  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265105,Proportion of pop below  poverty line (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,70,,74,,,"68,1",,"66,8",,,,67,,"58,4",,"59,3",,,
49,Togo,TG,Togo,88,TGO,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1978  SNA price valuation: VAmkt  Latest population census: 1981  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,"32,3",,,,,"72,2",,,,,,,,,,,"61,7",,,
36,Namibia,NA,Namibie,87,NAM,"Regional member Country  Lower middle income  Debt not classified    National currency: Namibia dollar  National accounts base year: 1995  SNA price valuation: VAbp SNA93 Latest population census: 2001  Latest demographic, household, or health survey: DHS",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,"84,7",,,,,,,,,,"77,5",,,"80,4",,,,
4,Botswana,BW,Botswana,87,BWA,"Regional member Country  Upper middle income  Less indebted    National currency: Botswana pula  National accounts base year: 1994  SNA price valuation: Vabp SNA93 data on fiscal yr basis  Latest population census: 2001  Latest demographic, household, or",,Goal 1: Eradicate extreme poverty and hunger,20265605,Employment-to-population ratio  (%),The employment-to-population ratio is the proportion of a country''s working-age population that is employed.,,1,20137105,Total,units,,,,,,,,,,,"49,5",,,,,"37,8","45,5",46,"56,8",,
14,Cote d'Ivoire,CI,Côte d'Ivoire,88,CIV,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1996  SNA price valuation: VAmkt  Latest population census: 1998  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,"32,3",,"36,8",,,"33,6",,,,"38,4",,,,,,"48,9",
7,Cameroon,CM,Cameroun,84,CMR,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 2000  SNA price valuation: VAbp  Latest population census: 1987  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"12,8",,,
51,Uganda,UG,Ouganda,85,UGA,"Regional member Country  Low income  Less indebted    National currency: Uganda shilling  National accounts base year: 1998  SNA price valuation: Vabp data on fiscal year basis  Latest population census: 2002  Latest demographic, household, or health surv",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,"87,71","42,3",,,,,,,,,,"84,9",,,"83,1",,,,
22,Ghana,GH,Ghana,88,GHA,"Regional member Country  Low income  Moderately indebted    National currency: Ghanian cedi  National accounts base year: 1993  SNA price valuation: VAmkt  Latest population census: 2000  Latest demographic, household, or health survey: SPA, 2002; DHS, 20",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,"18,34",,,,,,,"26,8",,,,,,,"10,49",,,
23,Guinea,GN,Guinée,88,GIN,"Regional member Country  Low income  Moderately indebted    National currency: Guinean franc  National accounts base year: 1991  SNA price valuation: VAmkt  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 1999",,Goal 1: Eradicate extreme poverty and hunger,20265705,Employment to population ratio 15-24 yrs (%),Employment of population aged 15-24 years,,1,20137105,Total,units,,,"75,4","75,5","75,6","75,6","75,5","75,4","75,2","74,9","74,8","74,6","74,4","74,2","74,1","73,9","73,6","73,4",73,"72,8",
12,"Congo, Dem. Rep.",CD,Congo (RDC),84,ZAR,"Regional member Country  Low income  Severely indebted    National currency: Congo franc  National accounts base year: 2000  SNA price valuation: VAfc  Latest population census: 1984  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,,,,"50,1",49,47,46,44,,
16,Egypt,EG,Egypte,86,EGY,"Regional member Country Lower middle income  Less indebted    National currency: Egyptian pound  National accounts base year: 2002  SNA price valuation: VAfc  Latest population census: 1996  Latest demographic, household, or health survey: SPA, 2",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,"7,1","0,6",,,,,,,,,"0,5",,,,,"0,5",,,,
51,Uganda,UG,Ouganda,85,UGA,"Regional member Country  Low income  Less indebted    National currency: Uganda shilling  National accounts base year: 1998  SNA price valuation: Vabp data on fiscal year basis  Latest population census: 2002  Latest demographic, household, or health surv",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,"56,4",,,,,,,"33,8",,,"38,8","37,7",,"31,1",,,,
10,Chad,TD,Tchad,84,TCD,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1995  SNA price valuation: VAbp  Latest population census: 1993  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265905,Proportion of own-account and contributing family workers in Total employment (%),Vulnerable employment is defined as the sum of the employment status groups of own-account workers and contributing family workers. For further information see: http://www.ilo.org/trends,,1,20137105,Total,units,,,,,,,,,,,,,,,,,"44,8",,,,
31,Mali,ML,Mali,88,MLI,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1987  SNA price valuation: VAfc  Latest population census: 1998  Latest demographic, household, or health survey: DHS, 2001",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,,,,,"18,79",,,
41,Senegal,SN,Sénégal,88,SEN,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: DHS, 2004",,Goal 1: Eradicate extreme poverty and hunger,20265305,Poverty gap ratio national poverty line in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,"14,34","16,8",,,,"16,1",,,
5,Burkina Faso,BF,Burkina Faso,88,BFA,"Regional member Country  Low income  Moderately indebted    National currency: CFA franc  National accounts base year: 1999  SNA price valuation: VAbp  Latest population census: 1996  Latest demographic, household, or health survey: DHS, 2003",,Goal 1: Eradicate extreme poverty and hunger,20265005,Proportion of pop below $1 PPP per day (%),"The poverty rate at $1.25 a day is the proportion of the population living on less than $1.25 a day, measured at 2005 international prices, adjusted for purchasing power parity (PPP).",,1,20137105,Total,units,,,,,,,,,,,,"45,3",,,,,,,,"46,4",
48,Tanzania,TZ,Tanzanie,85,TZA,"Regional member Country  Low income  Less indebted    National currency: Tanzania shilling  National accounts base year: 1992  SNA price valuation: VAfc  Latest population census: 2002  Latest demographic, household, or health survey: AIS, 2003   Economic",,Goal 1: Eradicate extreme poverty and hunger,20265405,Share of poorest quintile in national consumption (%),The poorest quintiles' percentage share of national income or consumption is the share that accrues to the bottom fifth (quintile) of the population.,,1,20137105,Total,units,,,,,,,,,,,,,7,,,,,,,,
24,Guinea-Bissau,GW,Guinée Bissau,88,GNB,"Regional member Country  Low income  Severely indebted    National currency: CFA franc  National accounts base year: 1986  SNA price valuation: VAfc  Latest population census: 1991  Latest demographic, household, or health survey: MICS, 2000",,Goal 1: Eradicate extreme poverty and hunger,20265205,Poverty gap ratio in (%),"Poverty gap is the mean shortfall of the total population from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,1,20137105,Total,units,,,,,,,,,,,,,,"5,3",,,,,,,
